symbol,min_score,max_move_pct,notes
ROST,0.75,3,
RPGL,0.75,3,
RPID,0.75,3,
RPM,0.75,3,
RRC,0.75,3,
RS,0.75,3,
RSG,0.75,3,
RSSS,0.75,3,
RUSHA,0.75,3,
RUSHB,0.75,3,
RVLV,0.75,3,
RVTY,0.75,3,
RXO,0.75,3,
RYAAY,0.75,3,
RYDE,0.75,3,
RYET,0.75,3,
RYN,0.75,3,
RYOJ,0.75,3,
RZLV,0.75,3,
S,0.75,3,
SAIA,0.75,3,
SAIH,0.75,3,
SAIL,0.75,3,
SANM,0.75,3,
SAP,0.75,3,
SARO,0.75,3,
SBR,0.75,3,
SBSW,0.75,3,
SBUX,0.75,3,
SCAG,0.75,3,
SCCO,0.75,3,
SCOR,0.75,3,
SCSC,0.75,3,
SCZM,0.75,3,
SD,0.75,3,
SDEV,0.75,3,
SDOT,0.75,3,
SE,0.75,3,
SELF,0.75,3,
SENEA,0.75,3,
SENEB,0.75,3,
SEZL,0.75,3,
SGHT,0.75,3,
SHLS,0.75,3,
SHOO,0.75,3,
SHOP,0.75,3,
SHW,0.75,3,
SI,0.75,3,
SIBN,0.75,3,
SIF,0.75,3,
SIMO,0.75,3,
SITE,0.75,3,
SKY,0.75,3,
SKYA,0.75,3,
SKYX,0.75,3,
SLAB,0.75,3,
SLB,0.75,3,
SLGB,0.75,3,
SLNG,0.75,3,
SLP,0.75,3,
SMID,0.75,3,
SMJF,0.75,3,
SMSI,0.75,3,
SMTC,0.75,3,
SMTI,0.75,3,
SN,0.75,3,
SND,0.75,3,
SNDK,0.75,3,
SNDR,0.75,3,
SNN,0.75,3,
SNOW,0.75,3,
SNPS,0.75,3,
SNWV,0.75,3,
SNX,0.75,3,
SNY,0.75,3,
SOBR,0.75,3,
SOLS,0.75,3,
SONO,0.75,3,
SOPH,0.75,3,
SORA,0.75,3,
SOTK,0.75,3,
SOWG,0.75,3,
SPGI,0.75,3,
SPHL,0.75,3,
SPIR,0.75,3,
SPOK,0.75,3,
SPPL,0.75,3,
SPSC,0.75,3,
SPT,0.75,3,
SPXC,0.75,3,
SRTA,0.75,3,
SSD,0.75,3,
SSII,0.75,3,
SSTI,0.75,3,
SSYS,0.75,3,
STAA,0.75,3,
STE,0.75,3,
STEX,0.75,3,
STLD,0.75,3,
STM,0.75,3,
STN,0.75,3,
STRA,0.75,3,
STRL,0.75,3,
STVN,0.75,3,
STX,0.75,3,
STXS,0.75,3,
SU,0.75,3,
